Geographical area,Year,International migrant stock,Value
"Total, all areas",2005, Both sexes (number),190531600
"Total, all areas",2005, Both sexes (% total population),2.9
"Total, all areas",2005, Male (% total Population),3
"Total, all areas",2005, Female (% total Population),2.7
"Total, all areas",2010, Both sexes (number),220019266
"Total, all areas",2010, Both sexes (% total population),3.2
"Total, all areas",2010, Male (% total Population),3.25
"Total, all areas",2010, Female (% total Population),3
"Total, all areas",2015, Both sexes (number),247585744
"Total, all areas",2015, Both sexes (% total population),3.4
"Total, all areas",2015, Male (% total Population),3.4
"Total, all areas",2015, Female (% total Population),3.3
"Total, all areas",2017, Both sexes (number),257715425
"Total, all areas",2017, Both sexes (% total population),3.4
"Total, all areas",2017, Male (% total Population),3.3
"Total, all areas",2017, Female (% total Population),3.5
Africa,2005, Both sexes (number),15462306
Africa,2005, Both sexes (% total population),1.7
Africa,2005, Male (% total Population),1.8
Africa,2005, Female (% total Population),1.5
Africa,2010, Both sexes (number),17007249
Africa,2010, Both sexes (% total population),1.6
Africa,2010, Male (% total Population),1.7
Africa,2010, Female (% total Population),1.5
Africa,2015, Both sexes (number),23436088
Africa,2015, Both sexes (% total population),2
Africa,2015, Male (% total Population),2.1
Africa,2015, Female (% total Population),1.8
Africa,2017, Both sexes (number),24650223
Africa,2017, Both sexes (% total population),2
Africa,2017, Male (% total Population),2.1
Africa,2017, Female (% total Population),1.8
Northern America,2005, Both sexes (number),45363387
Northern America,2005, Both sexes (% total population),13.8
Northern America,2005, Male (% total Population),13.9
Northern America,2005, Female (% total Population),13.8
Northern America,2010, Both sexes (number),50970996
Northern America,2010, Both sexes (% total population),14.9
Northern America,2010, Male (% total Population),14.7
Northern America,2010, Female (% total Population),15
Northern America,2015, Both sexes (number),55766224
Northern America,2015, Both sexes (% total population),15.7
Northern America,2015, Male (% total Population),15.4
Northern America,2015, Female (% total Population),16
Northern America,2017, Both sexes (number),57664154
Northern America,2017, Both sexes (% total population),16
Northern America,2017, Male (% total Population),15.6
Northern America,2017, Female (% total Population),16.3
Central America,2005, Both sexes (number),1385713
Central America,2005, Both sexes (% total population),0.9
Central America,2005, Male (% total Population),0.9
Central America,2005, Female (% total Population),0.9
Central America,2010, Both sexes (number),1749940
Central America,2010, Both sexes (% total population),1.1
Central America,2010, Male (% total Population),1.1
Central America,2010, Female (% total Population),1.1
Central America,2015, Both sexes (number),2043212
Central America,2015, Both sexes (% total population),1.2
Central America,2015, Male (% total Population),1.2
Central America,2015, Female (% total Population),1.2
Central America,2017, Both sexes (number),2092819
Central America,2017, Both sexes (% total population),1.2
Central America,2017, Male (% total Population),1.2
Central America,2017, Female (% total Population),1.2
Caribbean,2005, Both sexes (number),1333118
Caribbean,2005, Both sexes (% total population),3.3
Caribbean,2005, Male (% total Population),3.5
Caribbean,2005, Female (% total Population),3.2
Caribbean,2010, Both sexes (number),1353589
