year,#attacks
1950,2131
1951,2131
1952,2234
1953,2131
1954,2135
1955,2311
1956,2131
1957,2342
1958,2131
1959,2131
1960,2222
1961,2232
1962,2131
1963,2124
1964,2211
1965,2131
1966,2131
1967,2342
1968,2141
1969,2131
1970,2131
1971,2131
1972,2241
1973,2131
1974,2131
1975,2131
1976,2143
1977,2312
1978,2131
1979,2131
1980,2143
1981,2312
1982,2314
1983,2346
1984,2343
1985,2131
1986,2131
1987,2143
1988,2312
1989,2314
1990,2559
1991,2343
1992,2314
1993,2559
1994,2343
1995,2345
1996,2522
1997,2244
1998,2624
1999,2432
2000,2432
2001,2677
2002,2453
2003,2554
2004,2345
2005,2345
2006,2436
2007,2542
2008,2593
2009,2603
2010,2343
2011,2345
2012,2366
2013,2624
2014,2353
2015,2344
2016,2345
2017,2653
